feature_name,mean_abs_shap
polymarket_vwap,0.1382771
price_velocity,0.01567192
spread_volatility,0.012978868
spread,0.01190649
polymarket_buy_volume,0.011551319
polymarket_trade_count,0.011497446
polymarket_close,0.010728003
polymarket_open,0.0075134556
polymarket_low,0.0074266633
kalshi_high,0.0066540046
polymarket_dollar_volume,0.0062014433
spread_momentum,0.00555117
polymarket_max_trade_size,0.005380401
polymarket_high,0.005155915
kalshi_trade_count,0.00496121
volume_ratio,0.004786235
kalshi_vwap,0.0047257477
kalshi_dollar_volume,0.0046546133
polymarket_volume,0.004421343
kalshi_low,0.003931295
kalshi_volume,0.0038904212
polymarket_sell_volume,0.0034129121
polymarket_hours_since_last_trade,0.0032686396
polymarket_order_flow_imbalance,0.0031885037
kalshi_open,0.0031878902
polymarket_realized_spread,0.0027828382
kalshi_hours_since_last_trade,0.0018211054
kalshi_close,0.0016276025
kalshi_max_trade_size,0.0014718077
kalshi_has_trade,0.0011002684
polymarket_has_trade,0.00047108313
